ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10701080,HZ456552,10/01/2016 12:01:00 AM,012XX W 31ST ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0913,009,11,60,14,1168435,1884243,2016,10/08/2016 03:46:57 PM,41.837892804,-87.657430631,"(41.837892804, -87.657430631)"
10703657,HZ459430,10/01/2016 12:05:00 AM,087XX S ABERDEEN ST,0810,THEFT,OVER $500,STREET,false,false,2222,022,21,71,06,1170513,1846815,2016,10/08/2016 03:46:57 PM,41.735140931,-87.650895621,"(41.735140931, -87.650895621)"
10701792,HZ457386,10/01/2016 12:05:00 AM,047XX W ARTHINGTON ST,1506,PROSTITUTION,SOLICIT ON PUBLIC WAY,STREET,true,false,1131,011,24,25,16,1144857,1895609,2016,10/08/2016 03:46:57 PM,41.869559167,-87.743663533,"(41.869559167, -87.743663533)"
10701089,HZ456499,10/01/2016 12:05:00 AM,022XX S WESTERN AVE,0460,BATTERY,SIMPLE,SIDEWALK,false,false,1034,010,25,31,08B,1160712,1889227,2016,10/08/2016 03:46:57 PM,41.851732705,-87.685631969,"(41.851732705, -87.685631969)"
10701081,HZ456498,10/01/2016 12:05:00 AM,068XX S DORCHESTER AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,0321,003,5,43,08B,1186719,1859914,2016,10/08/2016 03:46:57 PM,41.770717886,-87.591110049,"(41.770717886, -87.591110049)"
10701030,HZ456511,10/01/2016 12:05:00 AM,010XX W 110TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,true,true,2234,022,34,75,08B,1171364,1831870,2016,10/08/2016 03:46:57 PM,41.694111074,-87.648213584,"(41.694111074, -87.648213584)"
10701136,HZ456506,10/01/2016 12:15:00 AM,038XX S WELLS ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,CHA APARTMENT,false,true,0915,009,3,34,08B,1175217,1879536,2016,10/08/2016 03:46:57 PM,41.82482726,-87.632685399,"(41.82482726, -87.632685399)"
10701126,HZ456614,10/01/2016 12:15:00 AM,022XX N LISTER AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,1432,014,32,22,06,1163459,1914856,2016,10/08/2016 03:46:57 PM,41.922003461,-87.674827942,"(41.922003461, -87.674827942)"
10701110,HZ456495,10/01/2016 12:15:00 AM,076XX S YATES BLVD,0320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,false,false,0414,004,7,43,03,1193526,1854822,2016,10/08/2016 03:46:57 PM,41.756581146,-87.566325086,"(41.756581146, -87.566325086)"
10701047,HZ456513,10/01/2016 12:15:00 AM,001XX W ADAMS ST,0460,BATTERY,SIMPLE,HOTEL/MOTEL,false,false,0122,001,42,32,08B,1175421,1899429,2016,10/08/2016 03:46:57 PM,41.879410537,-87.631340358,"(41.879410537, -87.631340358)"
10701020,HZ456520,10/01/2016 12:15:00 AM,106XX S STATE ST,2024,NARCOTICS,POSS: HEROIN(WHITE),PARKING LOT/GARAGE(NON.RESID.),true,false,0512,005,34,49,18,1178142,1834202,2016,10/08/2016 03:46:57 PM,41.700359791,-87.62332729,"(41.700359791, -87.62332729)"
10701682,HZ457182,10/01/2016 12:25:00 AM,006XX N LAKE SHORE DR,0890,THEFT,FROM BUILDING,HOTEL/MOTEL,false,false,1834,018,42,8,06,1179792,1904743,2016,10/08/2016 03:46:57 PM,41.893893173,-87.615127644,"(41.893893173, -87.615127644)"
10701167,HZ456514,10/01/2016 12:28:00 AM,007XX W MELROSE ST,0320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,false,false,1925,019,44,6,03,1170787,1921867,2016,10/08/2016 03:46:57 PM,41.941084385,-87.647696948,"(41.941084385, -87.647696948)"
10704857,HZ461001,10/01/2016 12:30:00 AM,062XX S MAPLEWOOD AVE,501A,OTHER OFFENSE,ANIMAL ABUSE/NEGLECT,RESIDENCE,false,false,0825,008,15,66,26,1160443,1863219,2016,10/08/2016 03:46:57 PM,41.780369155,-87.687336877,"(41.780369155, -87.687336877)"
10701994,HZ456648,10/01/2016 12:30:00 AM,029XX N MILWAUKEE AVE,0610,BURGLARY,FORCIBLE ENTRY,RESTAURANT,false,false,1412,014,35,21,05,1152232,1919250,2016,10/08/2016 03:46:57 PM,41.934290128,-87.715963037,"(41.934290128, -87.715963037)"
10701425,HZ457017,10/01/2016 12:30:00 AM,018XX S HARDING AVE,0920,MOTOR VEHICLE THEFT,ATT: AUTOMOBILE,RESIDENTIAL YARD (FRONT/BACK),false,false,1014,010,24,29,07,1150351,1890656,2016,10/08/2016 03:46:57 PM,41.855862215,-87.723622495,"(41.855862215, -87.723622495)"
10701164,HZ456533,10/01/2016 12:30:00 AM,002XX N DEARBORN ST,0560,ASSAULT,SIMPLE,CONVENIENCE STORE,false,false,0111,001,42,32,08A,1175901,1901839,2016,10/08/2016 03:46:57 PM,41.886012928,-87.629505318,"(41.886012928, -87.629505318)"
10701123,HZ456590,10/01/2016 12:30:00 AM,046XX N ROCKWELL ST,0870,THEFT,POCKET-PICKING,CTA TRAIN,false,false,1911,019,47,4,06,1158195,1930890,2016,10/08/2016 03:46:57 PM,41.966111076,-87.693729782,"(41.966111076, -87.693729782)"
10701109,HZ456501,10/01/2016 12:30:00 AM,049XX W ERIE ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,1532,015,37,25,08B,1143334,1903864,2016,10/08/2016 03:46:57 PM,41.892240472,-87.749048627,"(41.892240472, -87.749048627)"
10701024,HZ456519,10/01/2016 12:30:00 AM,062XX S ROCKWELL ST,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,false,false,0825,008,15,66,26,1160109,1863278,2016,10/08/2016 03:46:57 PM,41.780537938,-87.688559763,"(41.780537938, -87.688559763)"
10701006,HZ456524,10/01/2016 12:35:00 AM,067XX N NORTHWEST HWY,0460,BATTERY,SIMPLE,BAR OR TAVERN,false,false,1611,016,41,9,08B,1124737,1944097,2016,10/08/2016 03:46:57 PM,42.002971918,-87.816457884,"(42.002971918, -87.816457884)"
10701038,HZ456518,10/01/2016 12:38:00 AM,036XX W POLK ST,041A,BATTERY,AGGRAVATED: HANDGUN,STREET,false,false,1133,011,24,27,04B,1152287,1896124,2016,10/08/2016 03:46:57 PM,41.870829089,-87.716372136,"(41.870829089, -87.716372136)"
10701003,HZ456525,10/01/2016 12:38:00 AM,080XX S YATES BLVD,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,false,false,0422,004,7,46,05,1193589,1852041,2016,10/08/2016 03:46:57 PM,41.748948317,-87.566185083,"(41.748948317, -87.566185083)"
10701142,HZ456562,10/01/2016 12:40:00 AM,002XX W 38TH ST,0453,BATTERY,AGGRAVATED PO: OTHER DANG WEAP,CHA PARKING LOT/GROUNDS,false,false,0915,009,3,34,04B,1175134,1879648,2016,10/08/2016 03:46:57 PM,41.825136455,-87.63298655,"(41.825136455, -87.63298655)"
10701104,HZ456551,10/01/2016 12:40:00 AM,086XX S COTTAGE GROVE AVE,0820,THEFT,$500 AND UNDER,DRUG STORE,true,false,0632,006,6,44,06,1183071,1847869,2016,10/08/2016 03:46:57 PM,41.737750767,-87.604855911,"(41.737750767, -87.604855911)"
10701008,HZ456529,10/01/2016 12:40:00 AM,038XX N KEDZIE AVE,0860,THEFT,RETAIL THEFT,CONVENIENCE STORE,false,false,1733,017,33,16,06,1154374,1925259,2016,10/08/2016 03:46:57 PM,41.950736661,-87.707930056,"(41.950736661, -87.707930056)"
10701387,HZ456888,10/01/2016 12:42:00 AM,035XX S MICHIGAN AVE,5000,OTHER OFFENSE,OTHER CRIME AGAINST PERSON,OTHER,false,false,0213,002,3,35,26,1177772,1881665,2016,10/08/2016 03:46:57 PM,41.830611847,-87.623247369,"(41.830611847, -87.623247369)"
10701105,HZ456575,10/01/2016 12:48:00 AM,101XX S LAFAYETTE AVE,0496,BATTERY,AGGRAVATED DOMESTIC BATTERY: KNIFE/CUTTING INST,STREET,false,false,0511,005,9,49,04B,1177712,1837759,2016,10/08/2016 03:46:57 PM,41.710130412,-87.624794615,"(41.710130412, -87.624794615)"
22818,HZ456504,10/01/2016 12:52:00 AM,045XX S WOOD ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0924,009,20,61,01A,1165108,1874633,2016,10/08/2016 03:46:57 PM,41.81159312,-87.669911205,"(41.81159312, -87.669911205)"
10701102,HZ456535,10/01/2016 12:53:00 AM,012XX S SAWYER AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,true,true,1022,010,24,29,08B,1154889,1894311,2016,10/08/2016 03:46:57 PM,41.865802306,-87.706867809,"(41.865802306, -87.706867809)"
10701049,HZ456536,10/01/2016 12:54:00 AM,072XX S ARTESIAN AVE,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,false,true,0832,008,18,66,05,1161297,1856528,2016,10/08/2016 03:46:57 PM,41.761990455,-87.684391044,"(41.761990455, -87.684391044)"
10701084,HZ456538,10/01/2016 12:57:00 AM,095XX S COMMERCIAL AVE,0498,BATTERY,AGGRAVATED DOMESTIC BATTERY: HANDS/FIST/FEET SERIOUS INJURY,APARTMENT,true,true,0431,004,10,51,04B,1197802,1842364,2016,10/16/2016 03:50:07 PM,41.722289754,-87.551069707,"(41.722289754, -87.551069707)"
10704537,HZ460649,10/01/2016 01:00:00 AM,0000X W DIVISION ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,1824,018,42,8,07,1175939,1908370,2016,10/08/2016 03:46:57 PM,41.90393347,-87.629168941,"(41.90393347, -87.629168941)"
10701778,HZ457089,10/01/2016 01:00:00 AM,033XX N HALSTED ST,0870,THEFT,POCKET-PICKING,BAR OR TAVERN,false,false,1924,019,44,6,06,1170327,1922601,2016,10/08/2016 03:46:57 PM,41.943108594,-87.649366085,"(41.943108594, -87.649366085)"
10701526,HZ457220,10/01/2016 01:00:00 AM,063XX S CALIFORNIA AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,0823,008,15,66,07,1158799,1862584,2016,10/08/2016 03:46:57 PM,41.778660358,-87.693381423,"(41.778660358, -87.693381423)"
10701474,HZ457049,10/01/2016 01:00:00 AM,015XX S AVERS AVE,0810,THEFT,OVER $500,STREET,false,false,1014,010,24,29,06,1150963,1892173,2016,10/08/2016 03:46:57 PM,41.860013097,-87.721336447,"(41.860013097, -87.721336447)"
